iter	Logloss
0	0.6819109857
1	0.6709801969
2	0.6609226496
3	0.6512816313
4	0.6417086694
5	0.6332253368
6	0.624777215
7	0.6173901054
8	0.6102542869
9	0.602921204
10	0.5959063203
11	0.5895660043
12	0.583445961
13	0.576119681
14	0.5704885653
15	0.5638478859
16	0.5583276777
17	0.5537113643
18	0.5485930089
19	0.5435257749
20	0.5381048903
21	0.5333916792
22	0.5293845555
23	0.5257834785
24	0.5220265048
25	0.519038027
26	0.515390332
27	0.5117798097
28	0.5090219352
29	0.5063377043
30	0.5034264608
31	0.5001961771
32	0.497297369
33	0.4948796724
34	0.4926293184
35	0.4904030769
36	0.4885570345
37	0.4856995234
38	0.4831815493
39	0.4813450814
40	0.4794503884
41	0.477636599
42	0.4755016632
43	0.4731698328
44	0.4713449392
45	0.4696846017
46	0.4682224752
47	0.4669937477
48	0.4657464405
49	0.4645123393
50	0.4634084085
51	0.4621388244
52	0.4611478965
53	0.4599781991
54	0.4579357447
55	0.4562075629
56	0.4538884581
57	0.4529501385
58	0.4513368603
59	0.449588986
60	0.4485603025
61	0.4473027372
62	0.4458589695
63	0.444284358
64	0.4426181915
65	0.4417158045
66	0.4410405059
67	0.4401221911
68	0.4393692566
69	0.4387817451
70	0.4380666162
71	0.4372006147
72	0.4362545072
73	0.4352428904
74	0.4343727352
75	0.4336271201
76	0.4321125455
77	0.4311330675
78	0.4305393287
79	0.4295622834
80	0.4288398846
81	0.428386111
82	0.4275999963
83	0.4266683413
84	0.425873151
85	0.4250208943
86	0.4239989723
87	0.4235474603
88	0.4228365854
89	0.4222311811
90	0.4212837931
91	0.4206173596
92	0.4196465535
93	0.4192217046
94	0.4180857492
95	0.4175955474
96	0.417136706
97	0.4166921274
98	0.4159011597
99	0.4152862576
100	0.414950719
101	0.4144906992
102	0.4138837897
103	0.4134679919
104	0.4132146196
105	0.4124384534
106	0.4117066578
107	0.4113312543
108	0.4110722195
109	0.4107903021
110	0.4102379034
111	0.409768459
112	0.4090307763
113	0.4085648812
114	0.4078124924
115	0.407459053
116	0.4071440452
117	0.4067918222
118	0.4063748489
119	0.4058846394
120	0.4053506409
121	0.4051310686
122	0.4043609012
123	0.4038868773
124	0.4035100405
125	0.4026200779
126	0.4023633914
127	0.401535054
128	0.4010082059
129	0.4005563994
130	0.4002631701
131	0.4000149815
132	0.3997028677
133	0.3993703334
134	0.398944822
135	0.3986643825
136	0.3984382238
137	0.3982212762
138	0.3978713223
139	0.3974673412
140	0.3969395966
141	0.3962846461
142	0.3960322685
143	0.3955960289
144	0.3954658805
145	0.3950615276
146	0.3947602684
147	0.3944059964
148	0.3940417593
149	0.3937990717
150	0.3933389778
151	0.3929457178
152	0.3927024982
153	0.392253335
154	0.3919903846
155	0.391495948
156	0.3911633583
157	0.3909276341
158	0.3906339534
159	0.3902477957
160	0.3896866221
161	0.3894389813
162	0.389020259
163	0.3888601539
164	0.3886222843
165	0.3884091219
166	0.3880683537
167	0.3878833112
168	0.3875477326
169	0.3873203367
170	0.3870689241
171	0.3867953674
172	0.38656984
173	0.3864224141
174	0.3861884013
175	0.3859589087
176	0.3857606621
177	0.3855948309
178	0.3853732524
179	0.3849084179
180	0.3846421108
181	0.3844032992
182	0.3841018008
183	0.3839700836
184	0.3836549349
185	0.3833785089
186	0.3830119721
187	0.3828812235
188	0.3826408002
189	0.382471429
190	0.3821791771
191	0.3815784956
192	0.3812848536
193	0.381033639
194	0.3807519368
195	0.3803989174
196	0.3802127381
197	0.3799340516
198	0.3798537512
199	0.3795643117
200	0.3792451982
201	0.3789799407
202	0.3787902885
203	0.3786273231
204	0.378405364
205	0.3777988253
206	0.3776689734
207	0.3773385171
208	0.3772126748
209	0.3769837853
210	0.3768475551
211	0.3766804591
212	0.3765918956
213	0.3764709471
214	0.3762874965
215	0.376184219
216	0.3759870437
217	0.3758526334
218	0.3754862247
219	0.3752858702
220	0.3751091539
221	0.3749321165
222	0.3745733212
223	0.3743779346
224	0.3741966348
225	0.3741750781
226	0.3740309962
227	0.3736749013
228	0.3735744575
229	0.3733690001
230	0.3732400538
231	0.3730302654
232	0.3727803495
233	0.3725915215
234	0.3723491024
235	0.3722197519
236	0.372058755
237	0.3718355552
238	0.371545628
239	0.3713797354
240	0.3711414312
241	0.3710070299
242	0.3707243874
243	0.370539406
244	0.370344982
245	0.370234954
246	0.3701117721
247	0.3699843552
248	0.3698578124
249	0.3697142779
250	0.3695679135
251	0.3694132225
252	0.3692330711
253	0.3691478168
254	0.3689685643
255	0.3688525083
256	0.3686731096
257	0.368562542
258	0.3684308833
259	0.3682963998
260	0.3679920756
261	0.3678883197
262	0.3676450966
263	0.3675460687
264	0.3674637329
265	0.3671502591
266	0.3669660712
267	0.3668214948
268	0.3666490445
269	0.3664312832
270	0.3663482501
271	0.3661958786
272	0.3657813046
273	0.3656055111
274	0.3654647439
275	0.365329284
276	0.3649917515
277	0.3648417021
278	0.3647269454
279	0.3643913276
280	0.3642499158
281	0.3641184418
282	0.3640009773
283	0.3639084272
284	0.3635401392
285	0.3633720988
286	0.3631836131
287	0.3629912769
288	0.3626013485
289	0.3624470399
290	0.3623657114
291	0.3622600437
292	0.3620683768
293	0.361959509
294	0.3619050504
295	0.3617663123
296	0.361622909
297	0.3615310024
298	0.3613405136
299	0.361227368
300	0.3609491256
301	0.3605156147
302	0.3603629821
303	0.3602332009
304	0.3601204626
305	0.3599829191
306	0.3598553418
307	0.359737474
308	0.3595058603
309	0.3593567849
310	0.3592290985
311	0.3591182041
312	0.3589899869
313	0.358853082
314	0.358734911
315	0.3586274198
316	0.358547105
317	0.3584541851
318	0.3583895465
319	0.3583053772
320	0.3582329954
321	0.3578189128
322	0.357682214
323	0.3573267605
324	0.3571928815
325	0.3570835307
326	0.3570315538
327	0.3569418588
328	0.3565424977
329	0.3563702055
330	0.3561998364
331	0.3560600972
332	0.3558487906
333	0.35575584
334	0.3556095974
335	0.3554266368
336	0.3553265766
337	0.3549878531
338	0.3549165809
339	0.3547106077
340	0.3546403491
341	0.3544317055
342	0.3542508639
343	0.3541626657
344	0.3540808635
345	0.3540095849
346	0.3537868413
347	0.3536423038
348	0.3535102116
349	0.3533963707
350	0.3532401356
351	0.3531109193
352	0.3529939885
353	0.3526306433
354	0.3524463406
355	0.3522490423
356	0.3520654291
357	0.3518972884
358	0.351782021
359	0.3515957777
360	0.351449559
361	0.3513902029
362	0.3512621077
363	0.3509979221
364	0.3508123735
365	0.3507080096
366	0.3506593734
367	0.3504974816
368	0.3503725899
369	0.35024822
370	0.3500812786
371	0.350001312
372	0.3498162962
373	0.3497076804
374	0.3496049329
375	0.3494847852
376	0.3493522899
377	0.3492163795
378	0.3489253873
379	0.3487785399
380	0.3486823133
381	0.348593688
382	0.3485471324
383	0.3484689231
384	0.3483914934
385	0.3482220431
386	0.3481045867
387	0.34800345
388	0.3479217805
389	0.3477435029
390	0.347654483
391	0.34745362
392	0.347352827
393	0.3471076632
394	0.3469571604
395	0.3468413604
396	0.3467745724
397	0.3464779936
398	0.3463536371
399	0.3462581779
400	0.3461352164
401	0.3460736542
402	0.3459639336
403	0.3458313503
404	0.3457452268
405	0.345573341
406	0.3452684227
407	0.3451041155
408	0.3450489928
409	0.3449152386
410	0.3448119992
411	0.3447167867
412	0.3445337493
413	0.3444349663
414	0.3443223722
415	0.3441960998
416	0.3441218805
417	0.3439911053
418	0.3438283704
419	0.3436247472
420	0.3435874936
421	0.3434774561
422	0.3433531022
423	0.3432647661
424	0.3432089897
425	0.3431501138
426	0.3429701749
427	0.3427421589
428	0.3426215668
429	0.3425231585
430	0.3424606553
431	0.3423550294
432	0.3422653432
433	0.3421449074
434	0.3420643517
435	0.3419644126
436	0.3417974153
437	0.3417052991
438	0.3415969387
439	0.3414830828
440	0.3412941424
441	0.3412085739
442	0.3410919097
443	0.3410097581
444	0.340893798
445	0.3407675786
446	0.3406706094
447	0.3405595285
448	0.3404753728
449	0.3403902311
450	0.3403078107
451	0.3401921129
452	0.3400039689
453	0.3396973046
454	0.3395666545
455	0.3393908099
456	0.3393081147
457	0.339100788
458	0.3389919671
459	0.3389124933
460	0.3387154876
461	0.3385930299
462	0.3383830251
463	0.3381960058
464	0.3380988522
465	0.3378841407
466	0.3376107467
467	0.3374486399
468	0.3372424738
469	0.3369579826
470	0.3368726525
471	0.3367935581
472	0.3366432415
473	0.3365545928
474	0.3363889131
475	0.3362740816
476	0.3361737199
477	0.3360525497
478	0.3359539947
479	0.335852331
480	0.335756941
481	0.3355285648
482	0.33543701
483	0.3352942494
484	0.3350048481
485	0.3348910218
486	0.3347812603
487	0.3346682296
488	0.3344615189
489	0.3342390505
490	0.3341212695
491	0.3339964649
492	0.3339282217
493	0.3338543393
494	0.3337476394
495	0.3336012362
496	0.3335192725
497	0.3334357011
498	0.3333477925
499	0.3332126656
500	0.3330679382
501	0.3328740806
502	0.332772951
503	0.3326728669
504	0.3325806109
505	0.3324711016
506	0.3323701344
507	0.3322634942
508	0.3320400618
509	0.331882078
510	0.3317114293
511	0.3316372246
512	0.3314902395
513	0.3312695746
514	0.3310592725
515	0.3309114739
516	0.3308059462
517	0.3306318193
518	0.3304788366
519	0.3304176419
520	0.3302838863
521	0.3302070284
522	0.3299904063
523	0.3298912259
524	0.329771728
525	0.3296717775
526	0.3295828292
527	0.329469242
528	0.329353326
529	0.3292906288
530	0.3291466271
531	0.3290109573
532	0.3288608443
533	0.3287710169
534	0.3285835926
535	0.3284224088
536	0.3283175585
537	0.3281176973
538	0.3278951818
539	0.3278221056
540	0.327617858
541	0.3274808801
542	0.3273539252
543	0.327242986
544	0.3271357061
545	0.3270208074
546	0.3268435757
547	0.3266586401
548	0.3265411632
549	0.3264523472
550	0.3262923033
551	0.3261296694
552	0.3260550246
553	0.3258994002
554	0.325823956
555	0.3256955691
556	0.3256344054
557	0.3255111337
558	0.3253728201
559	0.3252504546
560	0.3251671743
561	0.3250473917
562	0.324901409
563	0.3248551317
564	0.3247063763
565	0.3245670794
566	0.324381694
567	0.3242097837
568	0.324094125
569	0.3239369985
570	0.3238396101
571	0.3237273152
572	0.3235805771
573	0.3234958998
574	0.3234062449
575	0.3232592987
576	0.3231642256
577	0.3230938019
578	0.3230034138
579	0.3228660669
580	0.322793333
581	0.3227086257
582	0.3225892513
583	0.322456783
584	0.3223738969
585	0.3222618188
586	0.3220753666
587	0.3219316062
588	0.321825776
589	0.3217659195
590	0.3216276729
591	0.3215379217
592	0.3214125442
593	0.3212649152
594	0.3211617806
595	0.3211111373
596	0.3209870811
597	0.3208400595
598	0.3207372929
599	0.3206209906
600	0.320496564
601	0.3204031242
602	0.3202711821
603	0.3201817745
604	0.3200557072
605	0.3199566446
606	0.3198971564
607	0.3198189359
608	0.3197269464
609	0.3196722337
610	0.3194877806
611	0.3193864671
612	0.319240165
613	0.3190907903
614	0.3189780779
615	0.3188541414
616	0.3187556732
617	0.318668053
618	0.3186298577
619	0.3185234357
620	0.318456713
621	0.3183596918
622	0.3182518031
623	0.3181294929
624	0.3179786597
625	0.317924698
626	0.3178120669
627	0.3176791099
628	0.3175878663
629	0.3174531219
630	0.3173322863
631	0.3171820195
632	0.3171084812
633	0.3170060308
634	0.3169089028
635	0.316761736
636	0.3166669116
637	0.3165545605
638	0.3164214897
639	0.3162880465
640	0.316191226
641	0.3161140049
642	0.3159974746
643	0.3159098621
644	0.3157665899
645	0.3156592673
646	0.3155717485
647	0.315434819
