iter	Passed	Remaining
0	5	5896
1	10	5278
2	15	5023
3	19	4905
4	25	4976
5	30	4979
6	35	4986
7	40	4977
8	45	5015
9	50	4988
10	55	5009
11	60	4988
12	65	4975
13	70	5000
14	76	5013
15	81	5037
16	87	5036
17	92	5060
18	98	5071
19	104	5103
20	109	5110
21	114	5110
22	119	5090
23	124	5065
24	129	5060
25	134	5038
26	141	5098
27	146	5077
28	150	5052
29	155	5026
30	159	5000
31	166	5038
32	171	5027
33	176	5017
34	181	5010
35	186	4997
36	191	4974
37	196	4966
38	201	4955
39	205	4934
40	210	4919
41	215	4917
42	220	4909
43	225	4899
44	230	4882
45	234	4870
46	239	4857
47	244	4849
48	249	4836
49	253	4823
50	258	4814
51	263	4804
52	268	4792
53	272	4781
54	278	4783
55	283	4780
56	289	4785
57	294	4783
58	299	4780
59	304	4775
60	310	4786
61	315	4778
62	320	4771
63	325	4765
64	330	4755
65	335	4751
66	340	4742
67	345	4738
68	351	4736
69	357	4752
70	364	4772
71	369	4765
72	374	4757
73	380	4755
74	384	4746
75	389	4739
76	395	4740
77	400	4734
78	405	4725
79	410	4722
80	415	4713
81	421	4717
82	426	4710
83	431	4701
84	435	4691
85	440	4682
86	445	4673
87	449	4662
88	455	4659
89	459	4650
90	464	4641
91	469	4632
92	474	4623
93	478	4613
94	483	4605
95	488	4597
96	493	4589
97	497	4581
98	502	4571
99	506	4562
100	511	4554
101	516	4546
102	521	4539
103	526	4532
104	531	4528
105	535	4520
106	540	4513
107	545	4504
108	550	4497
109	554	4489
110	559	4481
111	564	4472
112	568	4464
113	573	4456
114	578	4449
115	582	4441
116	587	4434
117	592	4427
118	597	4420
119	601	4412
120	606	4404
121	610	4397
122	615	4389
123	620	4383
124	625	4376
125	630	4371
126	634	4364
127	639	4358
128	644	4352
129	649	4345
130	654	4339
131	658	4332
132	663	4325
133	668	4320
134	673	4314
135	678	4307
136	682	4301
137	687	4295
138	692	4290
139	697	4286
140	702	4279
141	707	4272
142	711	4266
143	716	4260
144	721	4255
145	726	4249
146	731	4243
147	736	4242
148	741	4235
149	745	4226
150	750	4219
151	755	4212
152	759	4204
153	764	4197
154	768	4190
155	774	4188
156	778	4182
157	784	4178
158	788	4170
159	793	4163
160	797	4157
161	802	4149
162	806	4143
163	811	4136
164	815	4129
165	820	4122
166	825	4115
167	829	4109
168	834	4104
169	839	4097
170	843	4090
171	848	4084
172	852	4076
173	857	4069
174	861	4063
175	866	4056
176	870	4049
177	875	4041
178	879	4034
179	884	4028
180	889	4023
181	893	4017
182	898	4010
183	902	4003
184	907	3996
185	912	3995
186	917	3990
187	922	3983
188	926	3977
189	931	3970
190	935	3964
191	940	3957
192	944	3951
193	949	3944
194	953	3938
195	958	3931
196	963	3925
197	967	3919
198	972	3912
199	978	3913
200	983	3908
201	988	3904
202	993	3900
203	998	3894
204	1002	3889
205	1008	3885
206	1013	3881
207	1018	3876
208	1022	3871
209	1027	3866
210	1033	3862
211	1037	3857
212	1042	3851
213	1047	3846
214	1052	3842
215	1057	3838
216	1063	3835
217	1067	3830
218	1072	3826
219	1077	3821
220	1082	3816
221	1088	3814
222	1093	3809
223	1097	3803
224	1102	3797
225	1104	3781
226	1108	3775
227	1113	3770
228	1118	3764
229	1122	3758
230	1127	3751
231	1131	3745
232	1136	3741
233	1141	3735
234	1146	3730
235	1148	3718
236	1153	3712
237	1157	3707
238	1162	3702
239	1167	3697
240	1172	3692
241	1177	3686
242	1181	3681
243	1187	3678
244	1192	3673
245	1196	3668
246	1201	3662
247	1206	3658
248	1211	3653
249	1215	3647
250	1220	3642
251	1225	3636
252	1231	3634
253	1235	3628
254	1240	3624
255	1245	3619
256	1250	3615
257	1255	3610
258	1260	3606
259	1265	3601
260	1270	3596
261	1274	3591
262	1279	3586
263	1285	3583
264	1291	3583
265	1297	3578
266	1302	3574
267	1306	3569
268	1311	3564
269	1316	3559
270	1321	3553
271	1325	3548
272	1331	3544
273	1336	3539
274	1340	3534
275	1346	3531
276	1351	3527
277	1357	3525
278	1362	3520
279	1366	3515
280	1371	3509
281	1376	3504
282	1381	3500
283	1386	3496
284	1391	3492
285	1396	3486
286	1401	3481
287	1405	3475
288	1410	3469
289	1415	3464
290	1419	3459
291	1424	3453
292	1428	3447
293	1433	3441
294	1437	3436
295	1442	3431
296	1447	3425
297	1451	3419
298	1456	3414
299	1461	3409
300	1465	3403
301	1470	3398
302	1475	3393
303	1479	3387
304	1484	3382
305	1489	3377
306	1493	3371
307	1498	3366
308	1503	3362
309	1508	3357
310	1513	3352
311	1517	3346
312	1522	3340
313	1527	3337
314	1532	3332
315	1536	3326
316	1541	3322
317	1546	3316
318	1551	3311
319	1555	3306
320	1561	3302
321	1566	3297
322	1570	3292
323	1575	3287
324	1579	3281
325	1585	3277
326	1589	3271
327	1594	3266
328	1599	3261
329	1603	3256
330	1608	3250
331	1613	3245
332	1617	3240
333	1622	3234
334	1626	3229
335	1631	3223
336	1636	3218
337	1640	3213
338	1645	3208
339	1650	3204
340	1655	3198
341	1659	3193
342	1665	3189
343	1670	3186
344	1675	3180
345	1681	3179
346	1687	3175
347	1692	3170
348	1696	3165
349	1701	3160
350	1707	3156
351	1712	3153
352	1717	3148
353	1722	3143
354	1727	3138
355	1732	3133
356	1737	3128
357	1741	3123
358	1746	3118
359	1751	3113
360	1756	3108
361	1760	3103
362	1765	3097
363	1770	3092
364	1774	3087
365	1779	3082
366	1784	3078
367	1789	3072
368	1794	3068
369	1799	3063
370	1807	3065
371	1812	3059
372	1817	3054
373	1821	3048
374	1826	3043
375	1830	3038
376	1835	3033
377	1840	3028
378	1845	3023
379	1850	3018
380	1854	3013
381	1859	3008
382	1863	3002
383	1868	2997
384	1873	2992
385	1877	2986
386	1882	2981
387	1886	2975
388	1891	2970
389	1896	2966
390	1902	2962
391	1906	2957
392	1911	2952
393	1916	2947
394	1922	2944
395	1926	2938
396	1931	2933
397	1935	2927
398	1940	2922
399	1944	2917
400	1949	2912
401	1954	2906
402	1958	2901
403	1964	2898
404	1971	2896
405	1976	2891
406	1981	2886
407	1985	2881
408	1991	2877
409	1996	2872
410	2001	2868
411	2006	2864
412	2012	2860
413	2017	2855
414	2022	2850
415	2027	2845
416	2031	2840
417	2037	2836
418	2042	2831
419	2047	2827
420	2053	2824
421	2058	2819
422	2063	2815
423	2068	2810
424	2073	2804
425	2078	2800
426	2083	2795
427	2088	2790
428	2092	2785
429	2097	2780
430	2101	2774
431	2107	2770
432	2111	2765
433	2116	2759
434	2120	2754
435	2125	2749
436	2130	2744
437	2134	2739
438	2140	2735
439	2145	2730
440	2150	2725
441	2155	2720
442	2159	2715
443	2164	2710
444	2168	2705
445	2173	2700
446	2178	2695
447	2183	2689
448	2187	2684
449	2192	2679
450	2196	2674
451	2201	2668
452	2205	2663
453	2210	2658
454	2215	2653
455	2219	2648
456	2224	2643
457	2229	2638
458	2233	2633
459	2238	2628
460	2244	2624
461	2249	2619
462	2254	2614
463	2258	2609
464	2263	2604
465	2268	2599
466	2273	2594
467	2278	2589
468	2282	2584
469	2287	2579
470	2292	2574
471	2297	2569
472	2301	2564
473	2306	2559
474	2311	2554
475	2316	2550
476	2321	2545
477	2326	2540
478	2331	2535
479	2336	2531
480	2340	2525
481	2346	2521
482	2350	2515
483	2354	2510
484	2359	2505
485	2364	2500
486	2368	2495
487	2372	2489
488	2378	2485
489	2382	2480
490	2387	2474
491	2391	2469
492	2396	2464
493	2400	2459
494	2405	2454
495	2410	2449
496	2415	2444
497	2420	2439
498	2424	2434
499	2428	2428
500	2433	2423
501	2438	2418
502	2443	2414
503	2448	2409
504	2453	2404
505	2458	2399
506	2462	2394
507	2467	2389
508	2471	2384
509	2476	2379
510	2481	2374
511	2486	2369
512	2491	2365
513	2496	2360
514	2501	2356
515	2506	2350
516	2510	2345
517	2515	2340
518	2520	2335
519	2524	2330
520	2528	2325
521	2533	2319
522	2538	2314
523	2542	2309
524	2548	2305
525	2553	2300
526	2557	2295
527	2562	2290
528	2568	2286
529	2573	2282
530	2578	2277
531	2583	2272
532	2588	2267
533	2593	2262
534	2598	2258
535	2602	2253
536	2607	2248
537	2612	2243
538	2617	2238
539	2622	2233
540	2626	2228
541	2631	2223
542	2636	2218
543	2640	2213
544	2645	2208
545	2650	2203
546	2655	2198
547	2659	2193
548	2664	2188
549	2669	2183
550	2674	2179
551	2678	2174
552	2684	2169
553	2689	2165
554	2694	2160
555	2698	2155
556	2703	2150
557	2708	2145
558	2713	2140
559	2718	2135
560	2723	2130
561	2727	2125
562	2732	2120
563	2737	2116
564	2742	2111
565	2746	2106
566	2751	2101
567	2756	2096
568	2761	2091
569	2765	2086
570	2770	2081
571	2775	2076
572	2779	2071
573	2784	2066
574	2788	2061
575	2793	2056
576	2798	2051
577	2802	2046
578	2806	2040
579	2811	2035
580	2816	2031
581	2820	2026
582	2825	2021
583	2830	2016
584	2835	2011
585	2840	2006
586	2845	2002
587	2850	1997
588	2855	1992
589	2860	1987
590	2865	1982
591	2869	1977
592	2875	1973
593	2880	1968
594	2885	1963
595	2890	1959
596	2894	1954
597	2899	1949
598	2904	1944
599	2909	1939
600	2914	1934
601	2919	1929
602	2924	1925
603	2929	1920
604	2933	1915
605	2938	1910
606	2943	1905
607	2950	1902
608	2955	1897
609	2959	1892
610	2964	1887
611	2969	1882
612	2974	1877
613	2979	1873
614	2984	1868
615	2989	1863
616	2995	1859
617	3000	1854
618	3005	1849
619	3011	1845
620	3016	1840
621	3021	1836
622	3027	1832
623	3032	1827
624	3038	1823
